																																																																																																																																																																																																																																																																																																																																																																																					
	Line	Equipment	Activity		Start	End	Duration																																																																																																																																																																																																																																																																																																																																																																														
	11	Notcher(6대)	설계 및 내부 DR		02월 10일	02월 23일	14																																																																																																																																																																																																																																																																																																																																																																														
			고객사 DR		02월 27일	02월 27일	1																																																																																																																																																																																																																																																																																																																																																																														
			발주/제작		03월 09일	04월 17일	40																																																					PO 발행 후 출도																																																																																																																																																																																																																																																																																																																									
			하네스 작업/조립		04월 15일	04월 21일	7																																																																																																																																																																																																																																																																																																																																																																														
			본사 입고		04월 21일	04월 21일	1																																																																																																																																																																																																																																																																																																																																																																														
			발송 준비		04월 22일	04월 26일	5																																																																																																																																																																																																																																																																																																																																																																														
			FOB		04월 27일	05월 01일	5																																																																																																																																																																																																																																																																																																																																																																														
			현장 반입		05월 06일	05월 06일	1																																																																																																																																																																																																																																																																																																																																																																														
			해체(OY 내재화 시 검수)		04월 15일	04월 21일	7																																																																																																																																																																																																																																																																																																																																																																														
			조립(OY 내재화 시 검수)		05월 07일	05월 13일	7																																																																																																																																																																																																																																																																																																																																																																														
			기구세팅		05월 22일	05월 29일	8																																																																																																																																																																																																																																																																																																																																																																														
			공정세팅		06월 08일	06월 14일	7																																																																																																																																																																																																																																																																																																																																																																														
			UN Sample 대응		06월 15일	06월 21일	7																																																																																																																																																																																																																																																																																																																																																																														
			라인 인증		06월 22일	06월 28일	7																																																																																																																																																																																																																																																																																																																																																																														
			양산 대응		06월 29일	07월 12일	14																																																																																																																																																																																																																																																																																																																																																																														
			0			###############################################################################################################################################################################################################################################################																																																																																																																																																																																																																																																																																																																																																																															
			0			###############################################################################################################################################################################################################################################################																																																																																																																																																																																																																																																																																																																																																																															
			0			###############################################################################################################################################################################################################################################################																																																																																																																																																																																																																																																																																																																																																																															
			Manpower		Personnel	Total	Peak																																																																																																																																																																																																																																																																																																																																																																														
					Mechanical(소장포함)	63	4																																																																																																																																		4	4		4	4	4	4	4										1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																									
